comment,valence
特不靠谱说的话跟美国的信用评价降级一样,negative
特朗普把大家当猴耍,negative
大学还能转学啊？,negative
啊不是吧,negative
魔法部和霍格沃茨的故事照进现实了,negative
去哈弗的估计都想呆那吧，想回来的是少数。,negative
现在的问题不仅仅是学业 这涉及到国际学生在美的法律权益,negative
你应该回国，建设中国🇨🇳,negative
美国特朗普太邪恶了,negative
造吧把国家造没了那可太好了,negative
感觉老特办事和孩子过家家似的，一懵一懵的,negative
把哈弗给炸了,negative
